Category,Commitment,Party,Status,Updated,Due,References,Tags,LobbyFor,LobbyAgainst,Notes
Seniors,Progress the review of the Retirement Villages Act.,NZ First,25,08/07/2026,,https://www.rnz.co.nz/news/political/617391/labour-to-change-law-for-retirement-village-residents-if-elected,,,,"Retirement Villages Amendment Bill now exists: residents paid interest after 6 months of leaving a unit, full repayment guaranteed within 12 months (announced Jun 2026). Coalition 'review' has produced a legislative vehicle, though residents and Labour consider 12 months inadequate. Not yet enacted."
Seniors,Upgrade the Super Gold Card and Veterans Card to maximise its potential benefit for all Super Gold Card and Veteran Card holders.,NZ First,,27/11/2023,,,,,,
Seniors,Investigate the funding formula for new residential care beds.,NZ First,25,08/07/2026,,https://www.rnz.co.nz/news/health/598387/government-announces-79m-funding-boost-for-aged-residential-care-services,,,,17 Jun 2026: $79m (~4%) funding boost for aged residential care for 2026/27, tied to ministerial advisory group work that Costello said will report in the next few weeks. First concrete funding formula response; full reform recommendations still pending.
Seniors,Engage openly and constructively with the aged-care sector.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/political/577016/ministerial-advisory-group-to-look-at-changes-to-aged-care-funding-model,,,,"Government has engaged with the aged-care sector via a ministerial advisory group with sector 'liaison' on nominees, but no formal engagement framework has been published."
Seniors,Undertake a select committee inquiry into aged care provision to include supporting people with early onset conditions and what asset thresholds are appropriate in 2023/24.,NZ First,100,24/06/2026,,https://www.rnz.co.nz/news/political/577016/ministerial-advisory-group-to-look-at-changes-to-aged-care-funding-model,,,,A select committee inquiry into aged care provision has been completed; it is explicitly cited as informing the 2025 ministerial advisory group work.
Seniors,Explore options to build on the Local Government Rates Rebate Scheme for Super Gold Card holders.,NZ First,,27/11/2023,,,,,,
Seniors,Work on establishing bipartisan agreement to fund both care and dementia beds that New Zealand needs now and with a focus on the long term needs by 2040.,NZ First,,27/11/2023,,,,,,
Seniors,"Liaise with retirement village owners and occupiers to seek a mutually agreed way forward to safeguard the interests of the 50,000 plus New Zealanders living in retirement villages.",NZ First,25,08/07/2026,,https://www.rnz.co.nz/news/political/617391/labour-to-change-law-for-retirement-village-residents-if-elected,,,,"Government's Retirement Villages Amendment Bill (6-month interest, 12-month repayment guarantee) shows the 'mutually agreed' engagement has produced legislative change — though residents (and Labour) consider the 12-month timeframe inadequate. Bill not yet enacted."
Freedoms,"By December 1, 2023, lodge a reservation against adopting amendments to WHO health regulations to allow the government to consider these against a “national interest test”.",NZ First,100,05/12/2023,08/03/2024,Confirmed by email from NZ First.,100-day plan,,,
Freedoms,"Commit that in the absence of a referendum, our Government will not change the official name of New Zealand.",NZ First,,27/11/2023,,,,Hobson's Pledge,,
Freedoms,Support to select committee a bill that would enact a binding referendum on a four-year term of parliament.,NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/thehouse/544230/four-more-years-mps-debate-bill-to-extend-parliamentary-term,,,,"See ""Constitution (Enabling a 4-Year Term) Amendment Bill"" commitment from ACT. Constitution (Enabling a 4-Year Term) Amendment Bill was debated at first reading in March 2025; select committee recommended a referendum in August 2025."
Freedoms,Ensure publicly funded sporting bodies support fair competition that is not compromised by rules relating to gender.,NZ First,75,24/06/2026,,https://www.rnz.co.nz/news/political/567827/government-orders-sport-nz-to-scrap-transgender-inclusive-community-sport-guidelines,,,,"Government ordered Sport NZ to scrap and remove trans-inclusive community sport guidelines in July 2025; IOC also brought in new gender eligibility rules in March 2026, aligning NZ policy direction."
Freedoms,Legislate to make English an official language of New Zealand.,NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/political/594503/what-is-the-english-language-bill-and-what-would-it-actually-do-in-new-zealand,,,,"English Language Bill introduced February 2026, first reading passed, currently before select committee with report due 3 September 2026."
Freedoms,"Ensure all public service departments have their primary name in English, except for those specifically related to Māori.",NZ First,75,08/07/2026,,https://www.rnz.co.nz/news/political/595776/government-updates-official-branding-to-highlight-english-over-te-reo-maori,,Hobson's Pledge,,"20 May 2026: Public Service Commission directive from Minister Goldsmith required all agencies to update websites by end of June 2026 with 'New Zealand Government' in bold above 'Te Kāwanatanga o Aotearoa'. Coalition agreement milestone achieved via central directive; physical materials to follow."
Freedoms,Require the public service departments and Crown Entities to communicate primarily in English - except those entities specifically related to Māori.,NZ First,20,24/06/2026,,https://www.rnz.co.nz/news/political/570456/from-taonga-to-target-the-assault-on-te-reo-maori,,Hobson's Pledge,,"Partial implementation via individual agency directives (Health NZ, NZTA) but no comprehensive English-first communication directive across all departments; te reo rollback continues piecemeal."
Freedoms,Protect freedom of speech by ruling out the introduction of hate speech legislation and stop the Law Commission’s work on hate speech legislation.,NZ First,100,24/06/2026,,https://www.rnz.co.nz/news/national/513176/muslim-organisation-questions-why-hate-speech-law-reforms-abandoned,,Family First,,Justice Minister Paul Goldsmith ordered the Law Commission to stop hate speech work in April 2024 and confirmed no new hate speech legislation will proceed; both halves of the commitment delivered.
Freedoms,End all Covid-19 vaccine mandates still in operation.,NZ First,100,24/06/2026,,https://www.rnz.co.nz/news/political/516832/questions-about-coalition-s-covid-19-vaccine-mandate-pledge,,Family First,,Some workplace madnates are still in effect as of May 2024 All remaining legal Covid-19 vaccine mandates were already scrapped in August 2023 before the coalition took office; by May 2024 the government acknowledged there was nothing left to end.
Freedoms,"Ensure, as a matter of urgency in establishment and completion, a full scale, wide ranging, independent inquiry conducted publicly with local and international experts, into how the Covid pandemic was handled in New Zealand, including covering: use of multiple lockdowns, vaccine procurement and efficacy, the social and economic impacts on both regional and national levels, and whether the decisions made, and steps taken, where justified.",NZ First,100,27/08/2024,,https://www.beehive.govt.nz/release/phase-2-royal-commission-inquiry-covid-19-lessons,,"Voices for Freedom, Family First",,
Freedoms,Ensure a ‘National Interest Test’ is undertaken before New Zealand accepts any agreements from the UN and its agencies that limit national decision-making and reconfirm that New Zealand’s domestic law holds primacy over any international agreements.,NZ First,,27/11/2023,,,,,,
Democracy,"The Coalition Government will defend the principle that New Zealanders are equal before the law, with the same rights and obligations, and with the guarantee of the privileges and responsibilities of equal citizenship in New Zealand.",NZ First,10,24/06/2026,,https://www.nzherald.co.nz/nz/politics/government-tells-public-services-to-deliver-based-on-need-not-race/3WX4KBSKPFE2RLEY32K2XMUYSI/,,Hobson's Pledge,,"Cabinet Office circular on need-not-race (Sept 2024) and ongoing Treaty Principles / equal-citizenship messaging provide an initial basis, but no dedicated 'equal before the law' legislation."
Democracy,"The Coalition Government will work to improve outcomes for all New Zealanders, and will not advance policies that seek to ascribe different rights and responsibilities to New Zealanders on the basis of their race or ancestry.",NZ First,20,24/06/2026,,https://www.nzherald.co.nz/nz/politics/government-tells-public-services-to-deliver-based-on-need-not-race/3WX4KBSKPFE2RLEY32K2XMUYSI/,,Hobson's Pledge,,Government's Sept 2024 need-not-race Cabinet circular is a first-step directive; broader race-based rights reform has been pursued via Treaty Principles Bill (defeated April 2025).
Democracy,The Coalition Government will honour the undertakings made by the Crown through past Treaty of Waitangi settlements.,NZ First,,27/11/2023,,,,,,
Democracy,Remove co-governance from the delivery of public services.,"NZ First, ACT",25,24/06/2026,,https://www.rnz.co.nz/news/political/557804/celebrations-at-defeat-of-divisive-treaty-principles-bill,,Hobson's Pledge,,"Co-governance has been partially unwound (Māori Health Authority abolished, school Treaty duties removed, English-first agency names) but the headline Treaty Principles Bill was defeated 11-112 in April 2025; commitment has not been fully delivered."
Democracy,"Restore the right to local referendum on the establishment or ongoing use of Māori wards, including requiring a referendum on any wards established without referendum at the next Local Body elections.","NZ First, ACT",100,04/04/2024,,https://www.beehive.govt.nz/release/coalition-government-require-referendums-m%C4%81ori-wards,,Hobson's Pledge,,
Democracy,Stop all work on He Puapua,NZ First,100,05/12/2023,08/03/2024,,100-day plan,Hobson's Pledge,,
Democracy,Confirm that the Coalition Government does not recognise the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP) as having any binding legal effect on New Zealand.,NZ First,10,24/06/2026,,https://www.rnz.co.nz/news/te-manu-korihi/580079/new-zealand-s-track-record-of-racial-equality-under-review-at-the-un,,Hobson's Pledge,,Government has not formally affirmed UNDRIP domestically and Māori leaders have raised NZ's UN review in 2025; no positive statement binding on NZ has been issued.
Democracy,"Amend section 58 of the Marine and Coastal Area Act to make clear Parliament’s original intent, in light of the judgment of the Court of Appeal in Whakatohea Kotahitanga Waka (Edwards) & Ors v Te Kahui and Whakatohea Maori Trust Board & Ors [2023] NZCA 504.",NZ First,50,24/06/2026,,https://www.rnz.co.nz/news/political/570060/supreme-court-gives-green-light-to-riverbeds-inclusion-in-maori-customary-marine-title-orders,,Hobson's Pledge,,"Marine and Coastal Area (Takutai Moana) (Customary Marine Title) Amendment Bill was introduced Sept 2024, paused after Dec 2024 Supreme Court ruling, then reactivated August 2025 to override the 2023 Court of Appeal decision."
Democracy,"Amend the Waitangi Tribunal legislation to refocus the scope, purpose, and nature of its inquiries back to the original intent of that legislation.",NZ First,,27/11/2023,,,,,,
Democracy,"Conduct a comprehensive review of all legislation (except when it is related to, orsubstantive to, existing full and final Treaty settlements) that includes “The Principles ofthe Treaty of Waitangi” and replace all such references with specific words relating to therelevance and application of the Treaty, or repeal the references.",NZ First,,27/11/2023,,,,Hobson's Pledge,,
Tax,The Government will not progress the development and delivery of National’s manifesto commitment to a “Taxpayer’s Receipt” for taxpayers.,"ACT, National",100,27/11/2023,,,,,,
Infrastructure,"National’s Going for Housing Growth policy will now accommodate the ACT/National agreement to make the Medium Density Residential Standards (MDRS) optional for councils, and to consider sharing a portion of GST collected on new residential builds with councils.","ACT, National",40,24/06/2026,01/07/2024,https://www.rnz.co.nz/news/thehouse/581575/the-house-mps-week-begins-with-an-rma-shakeup-precursor,"100-day plan, Q3 action plan",,,"Government's major RMA reform unveiled Dec 2025 — two replacement bills (Planning Act, Natural Environment Act) introduced and bridge Duration of Consents bill passed under urgency. MDRS optionality addressed in replacement architecture but takes effect 2029."
Tax,"The Parties confirm no ongoing commitment to income tax changes, including threshold adjustments, beyond those to be delivered in 2024.","ACT, National",100,24/06/2026,,https://www.rnz.co.nz/news/political/518244/national-unveils-budget-2024-keeps-tax-cut-promises,,,,"Negative commitment honored: no further income tax threshold adjustments delivered beyond 2024 tax package across Budgets 2024, 2025 and 2026. Coalition pledge to refrain from further income tax changes appears to have been kept."
Infrastructure,Full cost benefit analysis must be presented before any binding agreement is made with respect to the Waikato medical school.,"ACT, National",10,05/12/2023,08/03/2024,,100-day plan,,,Initial action: Sign an MoU with Waikato University to progress a third medical school.
Infrastructure,"National’s commitment to supercharge electric vehicle infrastructure with a comprehensive, nationwide network of 10,000 public EV chargers by 2030 will specifically take into account ACT’s concern that there be robust cost benefit analysis to ensure maximum benefit for government investment.","ACT, National",25,24/06/2026,,https://www.beehive.govt.nz/release/government-boost-public-ev-charging-network,,,,Public EV charging network programme continues; no major milestone found in 2025-26 but the 2024 beehive release sets the foundation. Status defensible as continuing rollout.
Regulation,"Legislate to improve the quality of regulation, ensuring that regulatory decisions are based on principles of good law-making and economic efficiency, by passing the Regulatory Standards Act as soon as practicable.",ACT,30,24/06/2026,20/12/2024,https://www.rnz.co.nz/news/political/567120/ministry-feared-costs-of-60m-a-year-to-review-laws-under-regulatory-standards-bill,"100-day plan, Q4 action plan",,,"Regulatory Standards Bill progressed to select committee by Jul 2025, with officials warning of $60m/yr cost. Bill remains in legislative pipeline; not yet enacted."
Regulation,Immediately establish a new ministerial portfolio for Regulation.,ACT,100,05/12/2023,,Confirmed by cabinet formation.,,,,
Regulation,"Establish a new government department, required to assess the quality of new and existing legislation and regulation, funded by disestablishing the Productivity Commission and consolidating some regulatory quality work across the public sector where appropriate.",ACT,,27/11/2023,,,,,,
Regulation,"In consultation with the relevant Minister, carry out regulation sector reviews, which could include the primary industries, the finance sector, early childhood education, and healthcare occupational licencing, in each case producing an omnibus bill for regulatory reform of laws affecting the sector.",ACT,,27/11/2023,,,,,,
Regulation,Rewrite the Credit Contracts and Consumer Finance Act 2003 to protect vulnerable consumers without unnecessarily limiting access to credit.,ACT,,27/11/2023,,,,,,
Regulation,Amend the Overseas Investment Act 2005 to limit ministerial decision making to national security concerns and make such decision making more timely.,ACT,10,05/12/2023,08/03/2024,,100-day plan,,,Initial action: Take policy decisions to amend the Overseas Investment Act 2005 to make it easier for build-to-rent housing to be developed in New Zealand.
Regulation,Reform market studies introduced by the Commerce Amendment Act 2018 to focus on reducing regulatory barriers to new entrants to drive competition.,ACT,,27/11/2023,,,,,,
Fiscal,"Deliver savings in public sector spending by reducing non-essential back office functions, with expenditure reduction targets to be set for each agency, informed by the increase in back office head count at that agency since 2017.",ACT,50,24/06/2026,,https://www.rnz.co.nz/news/political/518376/line-by-line-the-coalition-s-budget-cuts-in-one-list,,,,"Budget 2024 delivered 240 back-office savings initiatives including corporate services cuts at Police, FMA, Archives NZ, Government Property Group, etc.; ongoing back-office efficiency work in subsequent budgets."
Tax,"Restore mortgage interest deductibility for rental properties with a 60 per cent deduction in 2023/24, 80 per cent in 2024/25, and 100 per cent in 2025/26.",ACT,67,24/06/2026,,https://www.rnz.co.nz/news/business/513098/interest-deductibility-for-landlords-unlikely-to-see-rents-fall,,,,"80% deduction from 1 April 2024, 100% from April 2025 implemented. The 60% backdated deduction for 2023/24 was abandoned ('not worth the benefit' — Seymour). 2 of 3 schedule steps delivered."
Tax,Repeal the Clean Car Discount.,ACT,100,05/12/2023,08/03/2024,Repealed under urgency on Dec 14th.,"100-day plan, by end-of-year 2023",,,
Monetary,"Narrow the Reserve Bank’s remit, to focus on price stability, and take advice on replacing “medium term” with specific time targets.",ACT,100,05/12/2023,,Passed under urgency on Dec 13th.,100-day plan,,,
Monetary,Amend the Reserve Bank of New Zealand Act 2021 to remove the dual mandate and take advice on removing the Treasury observer and returning to a single decision maker model,ACT,50,24/06/2026,,https://www.rnz.co.nz/news/political/504643/reserve-bank-dual-mandate-repeal-passes-through-parliament,,,,"Dual mandate removed via RBNZ (Economic Objective) Amendment Bill, passed under urgency Dec 2023. Treasury observer removal and single decision maker model — no public progress found."
Employment,Repeal the Fair Pay Agreement regime by Christmas 2023.,ACT,100,05/12/2023,08/03/2024,Repealed under urgency on Dec 14th.,"100-day plan, by end-of-year 2023",,,
Employment,Reform health and safety law and regulations.,ACT,10,05/12/2023,08/03/2024,,100-day plan,,,
Employment,Expand 90-day trials to apply to all businesses.,ACT,100,05/12/2023,08/03/2024,https://www.1news.co.nz/2023/12/21/legislation-to-fully-reinstate-90-day-trials-passes/,100-day plan,,,
Employment,"Consider simplifying personal grievances and in particular removing the eligibility for remedies if the employee is at fault, and setting an income threshold above which a personal grievance could not bepursued.",ACT,,27/11/2023,,,,,,
Employment,Maintain the status quo that contractors who have explicitly signed up for a contracting arrangement can’t challenge their employment status in the Employment Court.,ACT,,27/11/2023,,,,,,
Immigration,Increase the cap on the number of workers under the Recognised Seasonal Employer scheme to increase the flexibility of the quota allocation system.,ACT,,27/11/2023,,,,,,
Immigration,"Introduce a five year, renewable parent category visa, conditional on covering healthcare costs, with consideration of a public healthcare levy.",ACT,100,24/06/2026,,https://www.rnz.co.nz/news/political/563450/government-announces-new-parent-boost-visa-to-bring-families-together,,,,"Parent Boost visa announced 10 June 2025; applications opened 29 September 2025. Multi-entry 5-year visa, renewable once (up to 10 years total). ACT's Parmjeet Parmar confirmed commitment fulfilled. Healthcare levy replaced with private health insurance requirement — substantive deviation from ACT's original proposal."
Immigration,Remove median wage requirements from Skilled Migrant Category visas.,ACT,67,24/06/2026,,https://www.rnz.co.nz/news/chinese/590788/immigration-experts-divided-over-skilled-migrant-residency-reform,,,,"SMC reforms announced; median wage requirement for residence removed as part of two new residency pathways (skilled work experience, trades/technician) taking effect late August 2026. New red/amber occupation lists add complexity."
Immigration,"Liberalise the rules to make it easier for family members of visa holders to work in New Zealand, beginning with Skilled Migrant Category visa holders.",ACT,10,24/06/2026,,https://www.rnz.co.nz/news/education/589510/new-zealand-to-expand-work-rights-for-international-students,,,,"Initial action: government expanding work rights for international students (Mar 2026) and revamping open work visa conditions — partial movement on liberalising family member work rights, but specific Skilled Migrant Category family work reforms not yet legislated."
Infrastructure,"Amend the Resource Management Act 1991 to make it easier to consent new infrastructure including: renewable energy, allow farmers to farm, get more houses built, and enable aquaculture and otherprimary industries.",ACT,50,24/06/2026,,https://www.rnz.co.nz/news/thehouse/581575/the-house-mps-week-begins-with-an-rma-shakeup-precursor,,,,"Multiple RMA bills progressed: first amendment May 2024, several more in 2025, plus Resource Management (Duration of Consents) Amendment Bill passed under urgency Dec 2025. Major RMA replacement bills introduced Dec 2025."
Infrastructure,Replace the Resource Management Act 1991 with new resource management laws premised on the enjoyment of property rights as a guiding principle.,ACT,40,24/06/2026,,https://www.rnz.co.nz/news/political/545835/christopher-luxon-reveals-resource-management-act-reform,,,,"Two replacement Acts (Planning Act, Natural Environment Act) introduced Dec 2025; premised on property rights per Bishop/Court. Not scheduled to take effect until 2029, with select committee in 2026."
Infrastructure,"Institute long-term city and regional infrastructure deals, allowing PPPs, tolling and value capture rating to fund infrastructure.",ACT,20,24/06/2026,,https://www.rnz.co.nz/news/national/519539/government-passing-infrastructure-funding-woes-to-councils-labour,,,,"Initial action: Infrastructure Minister Chris Bishop publicly flagged congestion charges, road tolls, water metres, and PPPs as the funding path. No enabling legislation enacted yet — first public articulation of the toolkit."
Infrastructure,"Introduce financial incentives for councils to enable more housing, including considering sharing a portion of GST collected on new residential builds with councils.",ACT,10,24/06/2026,,,,,,"Partial: government has used resource consenting reforms and other mechanisms to incentivise council housing growth, but specific GST-sharing mechanism with councils for new residential builds has not been legislated."
Infrastructure,"Legislate to make the MDRS optional for councils, with the need for councils to ratify any use of MDRS, including existing zones.",ACT,,27/11/2023,,,,,,
Infrastructure,Remove the Kāinga Ora Sustaining Tenancies Framework and ensure appropriate consequences for tenants who engage in repeated antisocial behaviour.,ACT,67,24/06/2026,,https://www.rnz.co.nz/news/political/510000/government-takes-stricter-stance-on-unruly-social-housing-tenants,,,,"March 2024 letter from housing and finance ministers directed Kāinga Ora to replace the Sustaining Tenancies Framework; by 1 June 2025, 63 Kāinga Ora tenancies had been terminated in the resulting behaviour crackdown (600% increase in formal warnings)."
Infrastructure,Explore allowing home builders to opt out of needing a building consent provided they have long-term insurance for the building work.,ACT,,27/11/2023,,,,,,
Infrastructure,"Work to replace fuel excise taxes with electronic road user charging for all vehicles, starting with electric vehicles.",ACT,100,01/04/2024,,https://www.nzta.govt.nz/vehicles/road-user-charges/ruc-for-electric-vehicles/,,,,
Infrastructure,Work with Auckland Council to implement time of use road charging to reduce congestion and improve travel time reliability.,ACT,75,24/06/2026,,https://www.rnz.co.nz/news/political/569000/congestion-charging-legislation-passes-third-reading-in-parliament,,,,"Land Transport Management (Time of Use Charging) Amendment Bill passed third reading 11 November 2025, establishing framework permitting local authorities to set up congestion charging by notifying NZTA. Auckland CBD scheme still to be implemented."
Infrastructure,Reverse speed limit reductions where it is safe to do so.,ACT,100,21/03/2024,08/03/2024,https://www.beehive.govt.nz/release/direction-new-speed-limits-rule-announced,100-day plan,Family First,,
Tenancy,Allow landlords to issue a 90 day notice to a tenant to end a periodic tenancy without providing a reason or applying to the Tenancy Tribunal.,ACT,100,11/04/2024,,https://www.beehive.govt.nz/release/tenancy-rules-changes-improve-rental-market,,,,
Tenancy,Return tenants’ notice period to 21 days and landlords’ to 42 if the tenant wished to move or landlord wished to sell a property.,ACT,100,11/04/2024,,https://www.beehive.govt.nz/release/tenancy-rules-changes-improve-rental-market,,,,
Tenancy,Introduce “pet bonds” to make it easier for tenants to have pets in rental properties.,ACT,100,11/04/2024,,https://www.beehive.govt.nz/release/pet-bonds-winwin-renters-and-landlords,,,,
Climate Change,Maintain a split-gas approach to methane and carbon dioxide through to 2050 and review the methane science and targets in 2024 for consistency with no additional warming from agricultural methane emissions.,ACT,100,24/06/2026,,https://www.rnz.co.nz/news/political/575000/government-lowers-methane-target-rules-out-methane-taxes,,,,Independent panel reviewed 2050 methane target April 2024; government confirmed split-gas approach in October 2025 by lowering biogenic methane target (24–47% below 2017 levels by 2050) and ruling out agricultural methane taxes. Commitment met.
Primary Industry,"Reform the National Animal Welfare Advisory Committee to ensure its functions, membership and mandate are appropriate.",ACT,10,24/06/2026,,https://www.rnz.co.nz/news/political/567000/government-s-independent-animal-welfare-experts-disagreed-with-pig-welfare-reforms,,,,"NAWAC continues to operate but in October 2025 the associate agriculture minister announced pig welfare reforms that overrode NAWAC advice. Functions, membership and mandate of NAWAC itself not formally reformed."
Primary Industry,Cease implementation of new Significant Natural Areas and seek advice on the operation of existing Significant Natural Areas as part of the Government’s programme to reform the Resource Management Act.,ACT,100,14/03/2024,01/07/2024,https://www.beehive.govt.nz/release/significant-natural-areas-requirement-be-suspended,100-day plan,,,
Primary Industry,Improve Farm Environment Plans so they are more cost-effective and pragmatic for farmers.,ACT,,27/11/2023,,,,,,
Primary Industry,Enable farmers and landowners to offset sequestration against their on-farm emissions.,ACT,33,24/06/2026,,https://www.rnz.co.nz/news/political/567000/ets-settings-incentivising-whole-farm-conversions-into-forestry-farmers-say,,,,"Existing ETS settings continue to allow forestry-based sequestration offsetting, but government exempted agriculture from ETS in June 2024. Framework for on-farm emissions offsetting has not been formally expanded per commitment."
Primary Industry,Replace the National Policy Statement for Freshwater Management 2020 to allow district councils more flexibility in how they meet environmental limits and seek advice on how to exempt councils from obligations under the National Policy Statement for Freshwater Management 2020 as soon aspracticable.,ACT,50,24/06/2026,,https://www.rnz.co.nz/news/political/566000/the-house-government-passes-resource-management-act-changes-to-freshwater,,,,"Resource Management (Freshwater and Other Matters) Amendment Act passed 24 October 2024, substantially amending NPS-FM 2020 (freshwater rules put on pause for farmers). Full replacement of NPS-FM not completed."
Natural Resources,Update the Crown Minerals Act 1991 to clarify its role as promoting the use of Crown minerals.,ACT,100,24/06/2026,,https://www.rnz.co.nz/news/political/570000/petroleum-law-passes-with-a-last-minute-twist,,,,"Crown Minerals Amendment Bill passed 31 July 2025 (after rare recommittal), clarifying Crown minerals regime to promote petroleum exploration. Commitment met."
Natural Resources,"Explore the potential for a critical minerals list, where such minerals would have a preferential pathway for development once identified.",ACT,67,24/06/2026,,https://www.rnz.co.nz/news/political/567000/government-releases-list-of-35-critical-minerals-as-part-of-mining-strategy,,,,Government released a list of 35 critical minerals as part of its mining strategy on 16 September 2024; subsequent engagement with US on critical minerals supply (Feb 2026) and Tāiko Critical Minerals NZX debut (March 2026) shows the list is operational.
Natural Resources,Repeal the ban on offshore oil and gas exploration,ACT,100,25/09/2024,,https://www.beehive.govt.nz/release/milestone-return-petroleum-exploration,,,,
Law & Order,Increase funding for the Department of Corrections to ensure there is sufficient prison capacity as required.,ACT,100,06/05/2024,,https://www.beehive.govt.nz/release/19-billion-investment-keep-nz-safe-crime,,,,
Law & Order,Invest in the construction of new youth justice beds.,ACT,,27/11/2023,,,,,,
Law & Order,"Restore Three Strikes legislation, with amendments to tighten the definition of strike offences and ensure some benefit for pleading guilty.",ACT,75,24/06/2026,01/07/2024,https://www.rnz.co.nz/news/political/566000/new-sentencing-laws-will-drive-nz-s-already-high-imprisonment-rates,,Family First,,"Three Strikes Bill introduced 25 June 2024; Sentencing (Reform) Amendment Bill was about to become law in late March 2025, restoring tougher sentencing including three-strikes provisions."
Law & Order,Abolish the previous Labour Government’s prisoner reduction target.,ACT,100,05/12/2023,08/03/2024,https://twitter.com/NZNationalParty/status/1755080544814325977,100-day plan,,,
Law & Order,Take advice on amending the Criminal Proceeds (Recovery) Act 2009 so the threshold amount for seizing gang assets is $0 if an illegal firearm is found.,ACT,,27/11/2023,,,,,,
Law & Order,Strengthen the electronic monitoring regime.,ACT,,27/11/2023,,,,,,
Firearms,Rewrite the Arms Act 1983 to provide for greater protection of public safety and simplify regulatory requirements to improve compliance and pass it through all stages during this term of Parliament.,ACT,33,24/06/2026,,https://www.beehive.govt.nz/release/government-overhaul-firearms-laws,,,,"Phase 4 of firearms reform programme (announced 14 June 2024) covers full rewrite of the Arms Act; Cabinet signed off on reforms 11 November 2025 but dropped semi-auto gun law changes, narrowing the rewrite scope. Rewrite not yet passed."
Firearms,"Transfer responsibility for the Arms Act 1983, policy and regulation to the Ministry of Justice, and transfer the Firearms Safety Authority, administrator of the Act, to another department such as the Department of Internal Affairs.",ACT,10,14/06/2024,,https://www.beehive.govt.nz/release/government-overhaul-firearms-laws,,,,
Firearms,"Review whether the Firearms Registry is effectively improving public safety, beginning by June 2024.",ACT,100,01/06/2024,01/07/2024,https://www.beehive.govt.nz/release/government-commences-firearms-registry-review,,,,
Firearms,Immediately begin to repeal and replace Part 6 of the Arms Act 1983 relating to clubs and ranges.,ACT,30,05/12/2023,08/03/2024,https://www.beehive.govt.nz/release/government-consult-regulation-shooting-clubs-and-ranges,100-day plan,,,
Education,Reintroduce partnership schools and introduce a policy to allow state schools to become partnership (or charter) schools.,ACT,100,25/09/2024,,https://www.beehive.govt.nz/release/lifting-education-outcomes-young-kiwis,,,,
Education,Explore further options to increase school choice and expand access to integrated and independent schools including reviewing the independent school funding formula to reflect student numbers.,ACT,67,24/06/2026,,https://www.rnz.co.nz/news/political/567000/education-system-reforms-pass-third-reading-in-parliament,,,,"Education and Training (System Reform) Amendment Bill passed third reading 24 June 2026, expanding school choice via charter pathways; independent school funding formula review may need separate action."
Education,"Prioritise reporting and enforcement action to reduce truancy, including centrally collecting and publishing attendance data.",ACT,100,07/05/2024,01/07/2024,https://www.beehive.govt.nz/release/daily-school-attendance-data-now-available,,,,
Education,Improve the cost-effectiveness of the school lunch programme.,ACT,100,08/05/2024,01/07/2024,https://www.beehive.govt.nz/release/smarter-lunch-programme-feeds-more-costs-less,,,,
Education,Replace the Fees Free programme with a final year fees free policy with no change before 2025.,ACT,100,24/06/2026,,https://www.rnz.co.nz/news/education/594974/government-considered-phasing-out-fees-free-university-scheme-before-axing-it,,,,Final-year fees free was delivered from 2025 after the coalition shifted Labour's first-year scheme; the policy was subsequently axed outright in Budget 2026 (effective 2027).
Education,Amend the Education and Training Act 2020 such that tertiary education providers receiving taxpayer funding must commit to a free speech policy.,ACT,,27/11/2023,,,,,,
Education,Amend the Education and Training Act 2020 to enshrine educational attainment as the paramount objective for state schools.,ACT,,27/11/2023,,,,,,
Education,Restore balance to the Aotearoa New Zealand’s Histories curriculum.,ACT,10,24/06/2026,,https://www.rnz.co.nz/news/political/585317/ex-education-ministry-staffer-says-new-school-curriculum-heavily-politicised,,Hobson's Pledge,,"Curriculum redesign underway under System Reform Amendment Bill, but specific 'restoration of balance' to Aotearoa NZ Histories curriculum not visible."
Health,"Broaden the terms of reference of the Royal Commission into the Covid-19 response, subject to public consultation.",ACT,100,25/06/2024,01/07/2024,https://www.beehive.govt.nz/release/phase-2-royal-commission-inquiry-covid-19-lessons,,,,
Health,Update Pharmac’s decision making model to ensure it appropriately takes patient voice into account and reform the funding model to account for positive fiscal impacts on the Crown of funding more medicines.,ACT,30,24/06/2026,,https://www.rnz.co.nz/news/political/559406/pharmac-s-approach-not-fit-for-purpose-major-review-finds,,,,"Independent Francis Review (Apr 2025) found Pharmac's approach 'not fit for purpose' and called for fundamental change in strategy and culture; Seymour accepted review, new CEO being recruited."
Health,Require the Ministry of Health to publish a Medicines Strategy every three years.,ACT,,27/11/2023,,,,,,
Health,Better recognise people with overseas medical qualifications and experience for accreditation in NewZealand including consideration of an occupations tribunal.,ACT,,27/11/2023,,,,,,
Health,Investigate build and lease-back arrangements for new hospitals.,ACT,20,24/06/2026,,https://www.rnz.co.nz/news/political/533673/new-public-private-partnerships-framework-has-labour-s-backing,,,,New Public-Private Partnerships framework released Nov 2024 (with Labour backing); no specific build-and-lease-back hospitals delivered yet.
